Pais,iso3c,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,3.389,3.588,3.397,3.408,3.626,3.722,3.63,3.894,3.854,3.858,4.034,4.088,4.147,4.185,4.127
Albania,ALB,2.288,2.207,2.184,2.182,2.211,2.23,2.265,2.25,2.193,2.231,2.111,2.148,2.154,2.141,2.12
Algeria,DZA,2.558,2.536,2.516,2.69,2.669,2.682,2.539,2.408,2.416,2.31,2.312,2.335,2.37,2.438,2.302
Angola,AGO,2.459,2.387,2.302,2.382,2.36,2.476,2.394,2.375,2.382,2.439,2.342,2.345,2.377,2.478,2.413
Argentina,ARG,2.366,2.518,2.532,2.63,2.544,2.589,2.487,2.61,2.668,2.576,2.58,2.721,2.717,2.607,2.656
Armenia,ARM,2.199,2.249,2.281,2.167,2.197,2.217,2.094,2.074,2.043,2.064,2.145,2.023,2.001,1.88,1.977
Australia,AUS,1.483,1.54,1.525,1.541,1.602,1.526,1.471,1.449,1.518,1.602,1.588,1.563,1.528,1.616,1.657
Austria,AUT,1.508,1.535,1.497,1.567,1.501,1.368,1.352,1.316,1.308,1.472,1.383,1.37,1.386,1.538,1.452
Azerbaijan,AZE,2.317,2.45,2.44,2.421,2.466,2.654,2.44,2.354,2.341,2.432,2.37,2.344,2.211,2.349,2.528
Bahrain,BHR,2.111,2.113,2.019,2.478,2.279,2.498,2.523,2.511,2.507,2.608,2.602,2.452,2.48,2.386,2.405
Bangladesh,BGD,2.315,2.303,2.504,2.561,2.624,2.597,2.503,2.381,2.401,2.381,2.265,2.332,2.336,2.328,2.438
Belarus,BLR,2.543,2.518,2.532,2.477,2.439,2.426,2.326,2.368,2.295,2.133,2.197,2.326,2.273,2.432,2.526
Belgium,BEL,1.75,1.711,1.674,1.701,1.694,1.621,1.619,1.639,1.625,1.719,1.708,1.712,1.765,1.802,1.806
Benin,BEN,2.22,2.22,2.22,2.243,2.231,2.226,2.172,2.268,2.343,2.424,2.334,2.351,2.483,2.577,2.574
Bhutan,BTN,2.319,2.329,2.457,2.473,2.179,2.075,2.003,1.951,1.749,1.829,1.619,1.582,1.622,1.597,1.601
Bolivia,BOL,2.363,2.409,2.464,2.389,2.456,2.508,2.527,2.511,2.347,2.389,2.347,2.37,2.478,2.56,2.503
Bosnia and Herzegovina,BIH,2.046,2.161,2.179,2.164,2.187,2.11,2.041,2.127,2.128,2.091,2.17,2.113,2.18,2.076,2.044
Botswana,BWA,2.558,2.464,2.43,2.507,2.348,2.324,2.479,2.33,2.305,2.323,2.461,2.51,2.532,2.348,2.441
Brazil,BRA,2.7,2.718,2.718,2.724,2.768,2.721,2.907,3.058,3.076,3.139,3.072,3.19,3.295,3.286,3.284
Bulgaria,BGR,2.035,2.095,2.024,2.013,2.02,2.122,1.969,2.097,2.003,1.981,1.928,1.99,1.994,1.94,1.929
Burkina Faso,BFA,2.205,2.004,1.863,2.082,1.964,2.278,2.06,2.318,2.57,2.576,2.513,2.524,2.595,2.9,2.993
Burundi,BDI,2.653,2.65,2.763,2.578,2.584,2.678,2.452,2.651,2.906,3.08,3.114,3.132,2.96,2.851,3.024
Cambodia,KHM,2.504,2.588,2.594,2.538,2.485,2.396,2.436,2.408,2.378,2.252,2.397,2.279,2.214,2.173,2.08
Cameroon,CMR,2.412,2.441,2.663,2.385,2.554,2.387,2.401,2.581,2.739,2.711,2.829,2.788,2.948,3.048,3.014
Canada,CAN,1.411,1.468,1.462,1.398,1.377,1.326,1.32,1.372,1.353,1.387,1.402,1.434,1.472,1.47,1.637
Central African Republic,CAF,3.19,3.212,3.066,3.162,3.325,3.576,3.791,3.857,3.908,3.767,3.792,3.756,3.557,3.499,3.579
Chad,TCD,2.902,2.933,3.096,2.946,3.029,2.815,2.722,2.839,2.917,2.865,2.686,2.799,2.845,2.861,2.903
Chile,CHL,2.004,1.977,2.039,2.042,1.965,2.004,1.976,2.037,2.007,2.043,2.06,2.154,2.292,2.392,2.361
China,CHN,2.413,2.313,2.348,2.343,2.339,2.308,2.31,2.359,2.354,2.362,2.228,2.261,2.208,2.114,2.107
Colombia,COL,3.35,3.243,3.456,3.439,3.337,3.338,3.39,3.491,3.369,3.443,3.396,3.495,3.461,3.501,3.596
Costa Rica,CRI,1.955,1.988,2.093,2.116,2.055,2.167,2.142,2.166,2.146,2.106,2.212,2.193,2.174,2.156,2.229
Cote d' Ivoire,CIV,2.898,2.85,2.661,2.972,2.72,2.995,2.813,2.711,2.789,2.75,2.771,2.636,2.775,2.812,2.764
Croatia,HRV,1.951,1.899,1.836,1.838,1.81,1.863,1.798,1.756,1.732,1.634,1.606,1.643,1.596,1.572,1.564
Cuba,CUB,2.398,2.383,2.381,2.367,2.379,2.364,2.371,2.393,2.377,2.384,2.344,2.376,2.457,2.451,2.614
Cyprus,CYP,1.818,1.811,2.207,2.196,2.243,2.191,2.295,2.172,2.253,2.281,2.118,2.212,2.236,2.256,2.251
Czech Republic,CZE,1.806,1.78,1.709,1.686,1.67,1.67,1.612,1.604,1.592,1.565,1.574,1.565,1.569,1.567,1.566
Democratic Republic of the Congo,COD,3.335,3.34,3.349,3.296,3.468,3.379,3.495,3.688,3.627,3.529,3.645,3.617,3.665,3.796,3.747
Denmark,DNK,1.279,1.256,1.328,1.345,1.287,1.266,1.26,1.3,1.278,1.321,1.314,1.272,1.33,1.312,1.295
Djibouti,DJI,2.049,2.049,2.048,2.171,2.102,2.388,2.235,2.402,2.532,2.402,2.387,2.357,2.382,2.363,2.561
Dominican Republic,DOM,2.616,2.641,2.824,2.819,2.764,2.758,2.643,2.654,2.621,2.607,2.726,2.715,2.642,2.588,2.614
Ecuador,ECU,2.66,2.726,2.61,2.578,2.504,2.533,2.529,2.442,2.441,2.357,2.424,2.469,2.484,2.637,2.509
Egypt,EGY,2.232,2.148,2.197,2.712,2.909,3.032,3.115,2.982,2.748,2.606,2.569,2.511,2.474,2.665,2.503
El Salvador,SLV,2.772,2.835,2.818,2.902,2.934,2.928,2.844,2.985,2.938,2.998,3.067,3.061,3.054,2.99,3.062
Equatorial Guinea,GNQ,2.163,2.046,2.076,2.11,2.183,2.072,2.114,2.117,2.115,2.179,2.207,2.185,2.185,2.185,2.2
Eritrea,ERI,3.146,3.122,3.105,3.105,3.098,3.139,3.127,3.068,3.115,3.276,3.331,3.338,3.421,3.377,3.359
Estonia,EST,1.995,2.039,1.999,1.955,1.921,1.897,1.841,1.835,1.797,1.754,1.728,1.704,1.666,1.644,1.703
Eswatini,SWZ,2.655,2.62,2.624,2.757,2.65,2.733,2.793,2.775,2.621,2.542,2.564,2.505,2.557,2.465,2.576
Ethiopia,ETH,2.372,2.494,2.413,2.431,2.588,2.519,2.576,2.529,2.655,2.714,2.783,2.729,2.804,2.851,2.917
Finland,FIN,1.342,1.337,1.348,1.341,1.324,1.314,1.297,1.265,1.291,1.29,1.324,1.292,1.267,1.397,1.349
France,FRA,1.632,1.656,1.584,1.592,1.657,1.671,1.645,1.691,1.757,1.843,1.837,1.736,1.881,1.886,1.867
Gabon,GAB,2.504,2.518,2.569,2.496,2.378,2.358,2.374,2.463,2.419,2.442,2.525,2.537,2.599,2.479,2.378
Georgia,GEO,2.917,2.93,3.014,2.821,2.876,2.725,2.418,2.188,2.23,2.242,2.226,2.217,2.225,2.286,2.413
Germany,DEU,1.563,1.554,1.555,1.555,1.541,1.514,1.505,1.476,1.541,1.577,1.551,1.592,1.654,1.625,1.619
Ghana,GHA,1.962,2.075,2.074,2.07,2.066,2.15,2.05,1.913,1.944,2.061,2.004,1.922,2.105,2.051,2.026
Greece,GRC,1.895,2.012,2.114,2.147,2.202,2.259,2.225,2.001,2.063,1.894,1.896,1.856,1.765,1.928,1.773
Guatemala,GTM,2.927,2.868,2.721,2.815,2.784,2.751,2.698,2.686,2.863,2.833,2.815,2.931,2.881,2.825,2.819
Guinea,GIN,2.873,2.877,3.032,2.922,2.615,2.723,2.826,2.71,2.671,2.51,2.468,2.509,2.588,2.559,2.587
Guinea-Bissau,GNB,2.729,2.729,2.729,2.729,2.729,2.674,2.986,2.513,2.624,2.649,2.572,2.411,2.477,2.477,2.586
Guyana,GUY,2.659,2.672,2.655,2.819,2.636,2.717,2.754,2.832,2.881,2.711,2.767,2.906,2.865,2.863,2.895
Haiti,HTI,2.643,2.519,2.472,2.458,2.449,2.384,2.719,2.633,2.492,2.406,2.466,2.558,2.532,2.641,2.735
Honduras,HND,2.853,2.915,2.807,2.947,2.842,2.78,2.732,2.805,2.952,2.877,2.958,3.041,3.083,3.105,3.064
Hungary,HUN,1.616,1.707,1.639,1.672,1.667,1.657,1.694,1.736,1.657,1.712,1.787,1.735,1.832,1.646,1.528
Iceland,ISL,1.288,1.317,1.274,1.249,1.22,1.231,1.242,1.205,1.203,1.203,1.219,1.193,1.221,1.325,1.237
India,IND,2.102,2.228,2.158,2.185,2.199,2.297,2.31,2.29,2.339,2.357,2.31,2.276,2.358,2.372,2.373
Indonesia,IDN,2.071,2.091,2.072,2.141,2.061,2.023,2.088,1.993,2.069,2.155,2.114,2.145,2.192,2.11,2.107
Iran,IRN,2.768,2.735,2.755,2.844,2.803,2.656,2.579,2.697,2.597,2.594,2.74,2.746,2.998,2.806,2.838
Iraq,IRQ,4.098,4.077,4.035,3.865,3.758,3.592,3.635,3.719,3.89,3.934,3.777,3.72,3.881,3.737,3.646
Ireland,IRL,1.563,1.675,1.623,1.643,1.569,1.553,1.509,1.54,1.545,1.532,1.448,1.45,1.541,1.568,1.525
Israel,ISR,2.38,2.401,2.445,2.468,2.386,2.318,2.271,2.284,2.321,2.406,2.417,2.335,2.359,2.266,2.237
Italy,ITA,1.794,1.934,1.944,2.014,1.974,2.008,1.952,1.98,1.95,1.972,2.096,2,1.945,1.975,1.927
Jamaica,JAM,2.819,2.799,2.858,2.887,2.9,2.791,2.688,2.658,2.636,2.631,2.712,2.704,2.763,2.757,2.791
Japan,JPN,1.348,1.342,1.329,1.329,1.378,1.286,1.298,1.244,1.324,1.248,1.234,1.322,1.303,1.248,1.283
Jordan,JOR,2.095,2.142,2.176,2.188,2.14,2.113,2.109,2.093,2.139,2.15,2.124,2.071,2.215,2.177,2.037
Kazakhstan,KAZ,2.534,2.612,2.702,2.66,2.645,2.509,2.508,2.436,2.38,2.355,2.328,2.247,2.395,2.251,2.492
Kenya,KEN,2.662,2.835,2.859,2.754,2.753,2.742,2.875,2.884,2.84,2.758,2.772,2.665,2.647,2.549,2.599
Kosovo,KSV,2.397,2.39,2.389,2.388,2.31,2.366,2.206,2.237,2.26,2.149,2.281,2.205,2.316,2.355,2.266
Kuwait,KWT,1.66,1.665,1.623,1.638,1.69,1.804,1.737,1.707,1.814,1.932,1.883,1.839,1.764,1.767,1.762
Kyrgyz Republic,KGZ,2.445,2.483,2.521,2.524,2.806,2.733,2.731,2.462,2.332,2.338,2.375,2.347,2.313,2.191,2.282
Laos,LAO,2.208,2.187,1.96,2.019,2.012,1.976,1.993,1.997,2.074,2.125,2.111,2.102,2.106,2.095,2.076
Latvia,LVA,1.931,1.995,2.081,2.112,2.121,2.015,1.939,1.898,1.793,1.759,1.755,1.827,1.848,1.881,1.798
Lebanon,LBN,2.54,2.543,2.772,2.74,2.356,2.501,2.68,2.604,2.754,2.803,2.766,2.849,2.791,2.854,2.748
Lesotho,LSO,2.408,2.415,2.408,2.408,2.474,2.436,2.35,2.34,2.418,2.47,2.508,2.546,2.484,2.54,2.528
Liberia,LBR,2.327,2.352,2.44,2.441,2.436,2.319,2.363,2.395,2.372,2.491,2.382,2.322,2.395,2.482,2.491
Libya,LBY,2.338,2.266,2.186,3.024,2.644,2.853,2.781,3.163,3.44,3.506,3.246,3.239,3.222,3.373,3.093
Lithuania,LTU,2.123,2.079,2.093,2.188,2.133,2.13,2.14,2.063,2.076,1.952,1.88,1.832,1.813,1.814,1.775
Madagascar,MDG,2.32,2.47,2.412,2.675,2.586,2.604,2.778,2.565,2.526,2.596,2.486,2.475,2.574,2.589,2.612
